idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
422681,1000083692,11,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,DIS,M5153DIS,Remove Bearing,,1,,,,,1.00008E+11,,,,1,,,,,,,,,
422680,1000083692,10,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,DIS,M5153DIS,Remove dowel,,2,,,,,1.00008E+11,,,,1,,,,,,,,,
422702,1000083692,250,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MTS,M5153MTS,Seting before spray,,0.25,,,,,1.00008E+12,,,,1,,,,,,,,,
422701,1000083692,240,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,BLS,M5153BLS,Blasting,,0.3,,,,,1.00008E+12,,,,1,,,,,,,,,
422700,1000083692,230,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,BLS,M5153BLS,Masking,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422699,1000083692,220,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,BLS,M5153BLS,Cleaning / burning / pre heat,,0.3,,,,,1.00008E+12,,,,1,,,,,,,,,
422698,1000083692,210,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MTS,M5153MTS,Metal spray OD bearing seat,,1.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422697,1000083692,200,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MTS,M5153MTS,Seting before spray,,0.25,,,,,1.00008E+12,,,,1,,,,,,,,,
422696,1000083692,190,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,BLS,M5153BLS,Blasting,,0.3,,,,,1.00008E+12,,,,1,,,,,,,,,
516010,1000122421,20,SUCP-157,-,Tracklink (86 Pcs) ,PC2000,PT. Putra Perkasa Abadi ,Site BIB,WM3,,Diss Assembly Link and Track Pad Shoe RH&LH,,50,,,,,1.00012E+11,0,,,1,,Remove 344 Bolt 86 link @4 bolt,,,,,,,
516011,1000122421,30,SUCP-157,-,Tracklink (86 Pcs) ,PC2000,PT. Putra Perkasa Abadi ,Site BIB,ASY,,Assembly Pad shoe To New Link Rol 1 RH ,,20,,,,,1.00012E+11,0,,,1,,( 11 Pcs ),,,,,,,
516012,1000122421,40,SUCP-157,-,Tracklink (86 Pcs) ,PC2000,PT. Putra Perkasa Abadi ,Site BIB,ASY,,Assembly Pad shoe To New Link Rol 2 RH ,,25,,,,,1.00012E+11,0,,,1,,( 15 Pcs ),,,,,,,
